gid,crop,activity,start_time,end_time
1799.0,Teff,harvesting,2020-11-23,2020-12-26
1799.0,Teff,planting,2020-07-12,2020-08-06
1799.0,Teff,prep,2020-04-23,2020-07-07
1799.0,Teff,tasseling,2020-10-27,2020-11-10
1800.0,Maize,flowering,2020-08-22,2020-09-05
1800.0,Maize,harvesting,2020-10-31,2020-11-10
1800.0,Maize,planting,2020-06-08,2020-06-12
1800.0,Maize,prep,2020-05-09,2020-06-07
1800.0,Maize,tasseling,2020-09-16,2020-10-11
1800.0,Millet,flowering,2020-08-26,2020-09-16
1800.0,Millet,harvesting,2020-10-31,2020-12-10
1800.0,Millet,planting,2020-05-09,2020-06-07
1800.0,Millet,prep,2020-03-25,2020-04-20
1800.0,Millet,tasseling,2020-09-17,2020-10-11
1805.0,Maize,flowering,2020-08-18,2020-09-05
1805.0,Maize,harvesting,2020-10-16,2020-10-26
1805.0,Maize,planting,2020-06-12,2020-06-20
1805.0,Maize,prep,2020-05-09,2020-06-07
1805.0,Maize,tasseling,2020-09-12,2020-09-28
1805.0,Millet,flowering,2020-09-23,2020-10-11
1805.0,Millet,harvesting,2020-11-27,2020-12-10
1805.0,Millet,planting,2020-06-08,2020-07-07
1805.0,Millet,prep,2020-05-09,2020-06-07
1805.0,Millet,tasseling,2020-10-12,2020-11-11
1805.0,Rice,flowering,2020-09-26,2020-10-11
1805.0,Rice,harvesting,2020-11-11,2020-12-10
1805.0,Rice,planting,2020-06-13,2020-07-07
1805.0,Rice,prep,2020-05-09,2020-06-12
1805.0,Rice,tasseling,2020-10-12,2020-11-10
1806.0,Maize,flowering,2020-08-06,2020-08-16
1806.0,Maize,harvesting,2020-10-17,2020-11-10
1806.0,Maize,planting,2020-06-03,2020-06-12
1806.0,Maize,prep,2020-03-10,2020-06-07
1806.0,Maize,tasseling,2020-08-21,2020-09-27
1806.0,Millet,flowering,2020-09-21,2020-10-11
1806.0,Millet,harvesting,2020-11-11,2020-12-10
1806.0,Millet,planting,2020-06-20,2020-08-07
1806.0,Millet,prep,2020-03-10,2020-06-17
1806.0,Millet,tasseling,2020-10-12,2020-11-10
1806.0,Rice,flowering,2020-09-27,2020-10-11
1806.0,Rice,harvesting,2020-11-11,2020-12-10
1806.0,Rice,planting,2020-06-08,2020-06-23
1806.0,Rice,prep,2020-05-09,2020-06-07
1806.0,Rice,tasseling,2020-10-12,2020-11-10
1809.0,Maize,flowering,2020-08-07,2020-09-05
1809.0,Maize,harvesting,2020-10-24,2020-11-10
1809.0,Maize,planting,2020-05-09,2020-05-28
1809.0,Maize,prep,2020-02-18,2020-05-08
1809.0,Maize,tasseling,2020-09-16,2020-10-01
1809.0,Millet,flowering,2020-08-22,2020-09-12
1809.0,Millet,harvesting,2020-11-11,2020-12-10
1809.0,Millet,planting,2020-06-08,2020-07-07
1809.0,Millet,prep,2020-04-09,2020-06-07
1809.0,Millet,tasseling,2020-09-27,2020-10-26
1809.0,Teff,flowering,2020-08-21,2020-09-16
1809.0,Teff,harvesting,2020-10-26,2020-12-10
1809.0,Teff,planting,2020-07-03,2020-07-22
1809.0,Teff,prep,2020-03-10,2020-06-07
1809.0,Teff,tasseling,2020-09-26,2020-10-21
1810.0,Beans,flowering,2020-08-07,2020-09-05
1810.0,Beans,harvesting,2020-10-12,2020-10-18
1810.0,Beans,planting,2020-06-14,2020-06-24
1810.0,Beans,prep,2020-06-08,2020-06-12
1810.0,Beans,tasseling,2020-09-12,2020-09-27
1810.0,Maize,flowering,2020-08-07,2020-08-16
1810.0,Maize,harvesting,2020-10-12,2020-10-21
1810.0,Maize,planting,2020-05-10,2020-05-18
1810.0,Maize,prep,2020-03-10,2020-05-09
1810.0,Maize,tasseling,2020-09-12,2020-09-27
1810.0,Teff,flowering,2020-09-06,2020-09-27
1810.0,Teff,harvesting,2020-10-26,2020-11-26
1810.0,Teff,planting,2020-07-08,2020-07-30
1810.0,Teff,prep,2020-03-10,2020-07-05
1810.0,Teff,tasseling,2020-09-28,2020-10-16
1813.0,Maize,flowering,2020-08-22,2020-09-05
1813.0,Maize,harvesting,2020-10-11,2020-10-31
1813.0,Maize,planting,2020-05-09,2020-06-12
1813.0,Maize,prep,2020-03-10,2020-05-08
1813.0,Maize,tasseling,2020-09-12,2020-09-27
1813.0,Millet,flowering,2020-09-05,2020-09-27
1813.0,Millet,harvesting,2020-11-15,2020-12-10
1813.0,Millet,planting,2020-05-09,2020-06-22
1813.0,Millet,prep,2020-03-10,2020-05-08
1813.0,Millet,tasseling,2020-09-27,2020-10-16
