FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,latitude,longitude,latitude_dest,longitude_dest
2020-03-29,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,6,HNL,"Honolulu, HI",LAS,"Las Vegas, NV",805,,,,,,,1640,,,1.0,D,0.0,335.0,,,2762.0,,,,,,21.32040435,-157.9173135198164,36.0861034,-115.1611197919236
2019-12-02,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,140,MCO,"Orlando, FL",EWR,"Newark, NJ",1401,,,,,,,1645,,,1.0,B,0.0,164.0,,,937.0,,,,,,28.412903550000003,-81.30944309752753,40.68906405,-74.17725485035348
2019-03-14,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,241,BOS,"Boston, MA",LAX,"Los Angeles, CA",1824,,,,,,,2210,,,1.0,A,0.0,406.0,,,2611.0,,,,,,42.36317665,-71.01364006269452,33.94216754999999,-118.42135906141588
2019-11-01,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2349,LAX,"Los Angeles, CA",BOS,"Boston, MA",2155,,,,,,,616,,,1.0,A,0.0,321.0,,,2611.0,,,,,,33.94216754999999,-118.42135906141588,42.36317665,-71.01364006269452
2019-12-17,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1890,LAS,"Las Vegas, NV",OAK,"Oakland, CA",2110,,,,,,,2235,,,1.0,A,0.0,85.0,,,407.0,,,,,,36.0861034,-115.1611197919236,37.72225915,-122.21701661553246
2019-12-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3473,LAS,"Las Vegas, NV",BWI,"Baltimore, MD",1120,,,,,,,1850,,,1.0,B,0.0,270.0,,,2106.0,,,,,,36.0861034,-115.1611197919236,39.1828341,-76.6698273
2019-05-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1268,LAX,"Los Angeles, CA",MIA,"Miami, FL",1215,,,,,,,2019,,,1.0,A,0.0,304.0,,,2342.0,,,,,,33.94216754999999,-118.42135906141588,25.7949789,-80.28672341095405
2019-05-13,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5001,MDW,"Chicago, IL",SJU,"San Juan, PR",845,,,,,,,1430,,,1.0,A,0.0,285.0,,,2057.0,,,,,,41.7854316,-87.75084869357148,18.44319945,-65.99743036847468
2019-10-25,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2600,BOS,"Boston, MA",DFW,"Dallas/Fort Worth, TX",813,,,,,,,1134,,,1.0,A,0.0,261.0,,,1562.0,,,,,,42.36317665,-71.01364006269452,32.89651945,-97.0465220537124
2019-05-31,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1755,EWR,"Newark, NJ",OAK,"Oakland, CA",1720,,,,,,,2050,,,1.0,A,0.0,390.0,,,2555.0,,,,,,40.68906405,-74.17725485035348,37.72225915,-122.21701661553246
2022-09-14,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,82,HNL,"Honolulu, HI",AUS,"Austin, TX",900,858.0,-2.0,17.0,915.0,2114.0,17.0,2135,2131.0,-4.0,0.0,,0.0,455.0,453.0,419.0,3764.0,,,,,,21.32040435,-157.9173135198164,30.19348925,-97.66500963529676
